state,year,quater,name,count,amount
andhra-pradesh,2023,1,Insurance,34920,51963355.0
andhra-pradesh,2022,1,Insurance,29954,42648157.0
andhra-pradesh,2020,4,Insurance,21464,12985632.0
andhra-pradesh,2024,1,Insurance,46582,63563802.0
andhra-pradesh,2021,1,Insurance,22105,12749874.0
punjab,2023,1,Insurance,10816,23330966.0
punjab,2022,1,Insurance,7475,13155682.0
punjab,2020,4,Insurance,2451,1884291.0
punjab,2024,1,Insurance,14729,28213940.0
punjab,2021,1,Insurance,3783,2558380.0
chandigarh,2023,1,Insurance,1520,2415574.0
chandigarh,2022,1,Insurance,792,1150932.0
chandigarh,2020,4,Insurance,200,153341.0
chandigarh,2024,1,Insurance,1730,3143984.0
chandigarh,2021,1,Insurance,338,238576.0
karnataka,2023,1,Insurance,127376,186543426.0
karnataka,2022,1,Insurance,95640,130733580.0
karnataka,2020,4,Insurance,31747,26814968.0
karnataka,2024,1,Insurance,169357,264708700.0
karnataka,2021,1,Insurance,37595,30183325.0
sikkim,2023,1,Insurance,260,688605.0
sikkim,2022,1,Insurance,239,685987.0
sikkim,2020,4,Insurance,67,70214.0
sikkim,2024,1,Insurance,400,880182.0
sikkim,2021,1,Insurance,122,111777.0
kerala,2023,1,Insurance,62377,101786828.0
kerala,2022,1,Insurance,37110,64172190.0
kerala,2020,4,Insurance,5479,4445525.0
kerala,2024,1,Insurance,73106,115101791.0
kerala,2021,1,Insurance,5731,5040506.0
delhi,2023,1,Insurance,45821,61040038.0
delhi,2022,1,Insurance,28232,35442069.0
delhi,2020,4,Insurance,9725,8045442.0
delhi,2024,1,Insurance,53050,76232346.0
delhi,2021,1,Insurance,12822,9655261.0
odisha,2023,1,Insurance,18899,29360555.0
odisha,2022,1,Insurance,9627,14539309.0
odisha,2020,4,Insurance,7526,4208701.0
odisha,2024,1,Insurance,27977,40032495.0
odisha,2021,1,Insurance,8236,4383330.0
west-bengal,2023,1,Insurance,56833,77461732.0
west-bengal,2022,1,Insurance,38779,51160527.0
west-bengal,2020,4,Insurance,10233,7510455.0
west-bengal,2024,1,Insurance,79576,104987909.0
west-bengal,2021,1,Insurance,15488,11172042.0
bihar,2023,1,Insurance,26929,38746711.0
bihar,2022,1,Insurance,20253,27755736.0
bihar,2020,4,Insurance,9913,7860932.0
bihar,2024,1,Insurance,51592,63844442.0
bihar,2021,1,Insurance,12554,8796619.0
assam,2023,1,Insurance,22100,36963888.0
assam,2022,1,Insurance,16230,27447766.0
assam,2020,4,Insurance,2413,1806801.0
assam,2024,1,Insurance,33097,48107248.0
assam,2021,1,Insurance,3167,2334419.0
mizoram,2023,1,Insurance,171,326688.0
mizoram,2022,1,Insurance,85,189428.0
mizoram,2020,4,Insurance,81,119124.0
mizoram,2024,1,Insurance,277,427693.0
mizoram,2021,1,Insurance,415,302841.0
jharkhand,2023,1,Insurance,16108,23823406.0
jharkhand,2022,1,Insurance,9373,13819466.0
jharkhand,2020,4,Insurance,3659,2857024.0
jharkhand,2024,1,Insurance,24824,34332990.0
jharkhand,2021,1,Insurance,4879,3274851.0
chhattisgarh,2023,1,Insurance,10460,16577191.0
chhattisgarh,2022,1,Insurance,6612,10139190.0
chhattisgarh,2020,4,Insurance,3757,2249901.0
chhattisgarh,2024,1,Insurance,19579,30083259.0
chhattisgarh,2021,1,Insurance,4712,2620468.0
jammu-&-kashmir,2023,1,Insurance,4555,10275877.0
jammu-&-kashmir,2022,1,Insurance,3584,7244267.0
jammu-&-kashmir,2020,4,Insurance,647,734861.0
jammu-&-kashmir,2024,1,Insurance,7313,14695182.0
jammu-&-kashmir,2021,1,Insurance,1105,1546288.0
tamil-nadu,2023,1,Insurance,90690,116710222.0
tamil-nadu,2022,1,Insurance,47621,64969045.0
tamil-nadu,2020,4,Insurance,10290,8993575.0
tamil-nadu,2024,1,Insurance,111521,148976175.0
tamil-nadu,2021,1,Insurance,14406,11180849.0
telangana,2023,1,Insurance,54508,82678207.0
telangana,2022,1,Insurance,36325,51942016.0
telangana,2020,4,Insurance,20961,11339099.0
telangana,2024,1,Insurance,67388,105607539.0
telangana,2021,1,Insurance,28298,14810947.0
haryana,2023,1,Insurance,37287,61127194.0
haryana,2022,1,Insurance,22783,32526943.0
haryana,2020,4,Insurance,8283,5974278.0
haryana,2024,1,Insurance,50391,81816509.0
haryana,2021,1,Insurance,11038,7297880.0
nagaland,2023,1,Insurance,320,704957.0
nagaland,2022,1,Insurance,242,529223.0
nagaland,2020,4,Insurance,62,38836.0
nagaland,2024,1,Insurance,526,925684.0
nagaland,2021,1,Insurance,79,42973.0
puducherry,2023,1,Insurance,1955,2593091.0
puducherry,2022,1,Insurance,1199,1663404.0
puducherry,2020,4,Insurance,234,197955.0
puducherry,2024,1,Insurance,2702,3793554.0
puducherry,2021,1,Insurance,372,351827.0
uttar-pradesh,2023,1,Insurance,73080,127110494.0
uttar-pradesh,2022,1,Insurance,45996,73014969.0
uttar-pradesh,2020,4,Insurance,17470,14180417.0
uttar-pradesh,2024,1,Insurance,103701,176442664.0
uttar-pradesh,2021,1,Insurance,24103,18027573.0
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,Insurance,799,1215168.0
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,Insurance,493,720741.0
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,Insurance,232,149513.0
dadra-&-nagar-haveli-&-daman-&-diu,2024,1,Insurance,1295,1908509.0
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Insurance,467,285691.0
rajasthan,2023,1,Insurance,34415,61441050.0
rajasthan,2022,1,Insurance,21517,31576932.0
rajasthan,2020,4,Insurance,12509,6471573.0
rajasthan,2024,1,Insurance,59127,102926410.0
rajasthan,2021,1,Insurance,17800,8074225.0
andaman-&-nicobar-islands,2023,1,Insurance,1004,1439198.0
andaman-&-nicobar-islands,2022,1,Insurance,768,1131287.0
andaman-&-nicobar-islands,2020,4,Insurance,124,157975.0
andaman-&-nicobar-islands,2024,1,Insurance,1371,1964556.0
andaman-&-nicobar-islands,2021,1,Insurance,225,244266.0
gujarat,2023,1,Insurance,32600,46937694.0
gujarat,2022,1,Insurance,22221,29953433.0
gujarat,2020,4,Insurance,9990,6055037.0
gujarat,2024,1,Insurance,44665,62633910.0
gujarat,2021,1,Insurance,12673,7288104.0
himachal-pradesh,2023,1,Insurance,3909,7826133.0
himachal-pradesh,2022,1,Insurance,2768,5234739.0
himachal-pradesh,2020,4,Insurance,710,630966.0
himachal-pradesh,2024,1,Insurance,5430,10433254.0
himachal-pradesh,2021,1,Insurance,1064,906492.0
tripura,2023,1,Insurance,1642,2404958.0
tripura,2022,1,Insurance,907,1493401.0
tripura,2020,4,Insurance,244,149765.0
tripura,2024,1,Insurance,2637,3417568.0
tripura,2021,1,Insurance,360,191531.0
maharashtra,2023,1,Insurance,112174,166596248.0
maharashtra,2022,1,Insurance,88015,117411928.0
maharashtra,2020,4,Insurance,44798,27113814.0
maharashtra,2024,1,Insurance,149016,224725389.0
maharashtra,2021,1,Insurance,55792,33137753.0
lakshadweep,2023,1,Insurance,26,30199.0
lakshadweep,2022,1,Insurance,27,34664.0
lakshadweep,2024,1,Insurance,15,12935.0
lakshadweep,2021,1,Insurance,4,5225.0
goa,2023,1,Insurance,4097,5859549.0
goa,2022,1,Insurance,2634,3865245.0
goa,2020,4,Insurance,614,682364.0
goa,2024,1,Insurance,5225,7528093.0
goa,2021,1,Insurance,879,827384.0
arunachal-pradesh,2023,1,Insurance,606,1747475.0
arunachal-pradesh,2022,1,Insurance,355,894107.0
arunachal-pradesh,2020,4,Insurance,125,84247.0
arunachal-pradesh,2024,1,Insurance,1100,2419700.0
arunachal-pradesh,2021,1,Insurance,194,131611.0
madhya-pradesh,2023,1,Insurance,26393,45135679.0
madhya-pradesh,2022,1,Insurance,13791,19901462.0
madhya-pradesh,2020,4,Insurance,10653,4897124.0
madhya-pradesh,2024,1,Insurance,51223,85215982.0
madhya-pradesh,2021,1,Insurance,14427,5567927.0
uttarakhand,2023,1,Insurance,7552,13599026.0
uttarakhand,2022,1,Insurance,5339,8824948.0
uttarakhand,2020,4,Insurance,1756,1961891.0
uttarakhand,2024,1,Insurance,11533,19531483.0
uttarakhand,2021,1,Insurance,2607,2719327.0
ladakh,2023,1,Insurance,161,495736.0
ladakh,2022,1,Insurance,75,193935.0
ladakh,2020,4,Insurance,27,34206.0
ladakh,2024,1,Insurance,291,614435.0
ladakh,2021,1,Insurance,32,34530.0
meghalaya,2023,1,Insurance,562,1187523.0
meghalaya,2022,1,Insurance,337,729211.0
meghalaya,2020,4,Insurance,92,71029.0
meghalaya,2024,1,Insurance,1030,1987107.0
meghalaya,2021,1,Insurance,107,128776.0
manipur,2023,1,Insurance,222,632084.0
manipur,2022,1,Insurance,177,517854.0
manipur,2020,4,Insurance,90,49057.0
manipur,2024,1,Insurance,385,685052.0
manipur,2021,1,Insurance,136,72254.0
